Jahr;Monat;Tag;Temp. [°C];Nied. 6-6 [mm];Nied. 0-0 [mm];ET[mm];Ref. ET [mm];Gesamtverbrauch [^m^3/d];Kommentar Verbrauch;Quellwasser [m^3];Buebental [m^3];Schooren [m^3];Grundwasser tot. ;Gruppenbezug [m^3];Gesamtförderung [m^3/d];Kommentar Förderung;Ständige Wohnbevölkerung;;ET [mm/d];Ref ET [mm/d];Abfluss Uze [m^3/d]
2019;10;20191001;14.82211636;7.479147161;7.518437768;1.157880697;2.195050952;973;;283;69;588;657;56;996;;6403;;1.157880697;2.2;5529.6
2019;10;20191002;12.04202224;17.50101929;17.1820971;0.174187759;1.106464149;927;;284;69;568;637;22;943;;6403;;0.174187759;1.1;9158.4
2019;10;20191003;7.859069381;0;0;0.748963879;1.421513438;876;;310;69;620;689;6;1005;;6403;;0.748963879;1.4;9331.2
2019;10;20191004;9.455019445;3.319733983;2.72587706;0.095089718;0.812431147;905;;285;0;577;577;10;872;;6403;;0.095089718;0.8;7171.2
2019;10;20191005;11.47206658;9.573336431;11.33735478;0.093596096;0.998597498;928;;242;0;525;525;221;988;;6403;;0.093596096;1;12528
2019;10;20191006;10.97502489;20.03046405;21.15009632;0.056287509;0.786100454;928;;238;0;601;601;182;1021;;6403;;0.056287509;0.8;26352
2019;10;20191007;10.20792797;0.031983355;0.420269174;0.546851448;1.36002252;975;;349;0;645;645;38;1032;;6403;;0.546851448;1.4;37929.6
2019;10;20191008;12.61071438;22.57155089;1.665872639;0.30872894;1.264521119;884;;494;137;373;510;-32;972;;6403;;0.30872894;1.3;16070.4
2019;10;20191009;11.17696391;23.79616432;42.08924576;0.067587229;0.780067559;914;;124;138;512;650;148;922;;6403;;0.067587229;0.8;135648
2019;10;20191010;10.69493077;0.127933419;1.046502811;0.43791293;1.33577834;892;;246;138;559;697;-11;932;;6403;;0.43791293;1.3;55468.8
2019;10;20191011;9.566077627;0;0;0.824230308;1.415414646;923;;849;137;2;139;-12;976;;6403;;0.824230308;1.4;32140.8
2019;10;20191012;12.48785019;0;0;0.735975425;1.478420665;965;;854;138;1;139;-10;983;;6403;;0.735975425;1.5;24710.4
2019;10;20191013;14.10700825;0;0;0.73532617;1.436928084;1121;Hydrant umgefahren;798;138;16;154;80;1032;;6403;;0.73532617;1.4;16156.8
2019;10;20191014;13.30792797;0.018986155;0;0.614227584;1.510784252;984;;756;138;193;331;-41;1046;;6403;;0.614227584;1.5;12700.8
2019;10;20191015;10.8218449;11.26728395;10.01924006;0.109587773;1.357094087;904;;709;138;219;357;6;1072;;6403;;0.109587773;1.4;15120
2019;10;20191016;10.21704714;0;0;0.910796458;1.304564496;977;;705;138;113;251;-60;896;;6403;;0.910796458;1.3;15724.8
2019;10;20191017;11.97696391;0.280841947;0;0.671797623;1.170872669;900;;663;138;264;402;-8;1057;;6403;;0.671797623;1.2;12355.2
2019;10;20191018;12.63198335;0.562703185;0.062825124;0.143486934;0.978486562;968;;616;138;111;249;-99;766;;6403;;0.143486934;1;11577.6
2019;10;20191019;12.25906938;1.706836347;1.34197256;0.11790025;0.836928084;988;;592;138;247;385;39;1016;;6403;;0.11790025;0.8;11404.8
2019;10;20191020;11.60690868;0.26396671;0;0.080591662;1.255634053;1047;;571;138;519;657;-83;1145;;6403;;0.080591662;1.3;11059.2
2019;10;20191021;13.74590028;0.159916774;0.2;0.080591662;0.76002252;995;;526;138;299;437;31;994;;6403;;0.080591662;0.8;9676.8
2019;10;20191022;12.86607763;0;0.024977714;0.043494167;0.615480543;952;;516;138;153;291;92;899;;6403;;0.043494167;0.6;9244.8
2019;10;20191023;12.29299175;0;0;0.111292487;1.070993632;1005;;486;138;392;530;-5;1011;;6403;;0.111292487;1.1;8726.4
2019;10;20191024;13.2128253;0.095950064;0;0.104473632;0.926198898;967;;489;138;313;451;5;945;;6403;;0.104473632;0.9;8035.2
2019;10;20191025;12.57805554;0;0;0.311700204;0.849425128;1017;;434;138;517;655;-40;1049;;6403;;0.311700204;0.8;7689.6
2019;10;20191026;9.544232726;0;0;0.253285798;0.808950497;985;;431;138;655;793;-60;1164;;6403;;0.253285798;0.8;6998.4
2019;10;20191027;12.56583339;1.685063781;0.308072012;0.580766587;1.032231793;1011;;445;138;125;263;155;863;;6403;;0.580766587;1;6566.4
2019;10;20191028;10.18295286;8.672066581;7.145830278;0.028996111;0.5;932;;310;138;644;782;-48;1044;;6403;;0.028996111;0.5;8726.4
2019;10;20191029;7.553080426;9.38108618;11.36610736;0.032194447;0.441558478;974;;401;138;459;597;-33;965;;6403;;0.032194447;0.4;16416
2019;10;20191030;6.721097072;13.5166431;17.57319168;0.032194447;0.441558478;1031;;330;138;586;724;-88;966;;6403;;0.032194447;0.4;41472
2019;10;20191031;6.63603329;0.068016645;1.360717574;0.032194447;0.441558478;978;;573;138;446;584;5;1162;;6403;;0.032194447;0.4;37152
2019;11;20191101;9.644980555;2.710714385;1.28704116;0.041789453;0.507613893;949;;702;138;220;358;-81;979;;6403;;0.041789453;0.5;20822.4
2019;11;20191102;12.46185579;3.124875544;1.746681099;0.167791087;0.820045039;980;;655;138;145;283;10;948;;6403;;0.167791087;0.8;17193.6
2019;11;20191103;10.24202224;3.622864192;5.865110156;0.057992222;0.646122974;985;;635;138;212;350;-82;903;;6403;;0.057992222;0.6;17798.4
2019;11;20191104;10.21898615;3.727073926;2.26887873;0.310417674;0.898531601;992;;630;138;420;558;9;1197;;6403;;0.310417674;0.9;16675.2
2019;11;20191105;8.13603329;3.345080119;1.873142355;0.149672513;0.493967105;986;;618;138;211;349;-18;949;;6403;;0.149672513;0.5;16156.8
2019;11;20191106;6.658897482;0.314936219;1.92533429;0.077393327;0.496950604;996;;610;138;344;482;-58;1034;;6403;;0.077393327;0.5;17366.4
2019;11;20191107;5.198980708;5.047839301;2.783410255;0.085494711;0.404564496;949;;611;138;404;542;-55;1098;;6403;;0.085494711;0.4;16502.4
2019;11;20191108;4.157130362;3.993323452;6.451259875;0.035392782;0.36002252;990;;617;0;215;215;-58;774;;6403;;0.035392782;0.4;22896
2019;11;20191109;4.322016799;0;0;0.0564986;0.378486562;1911;Leitungsbruch Riggenschwil;684;138;453;591;428;1703;;6403;;0.0564986;0.4;22896
2019;11;20191110;2.741002953;0;0;0.122381115;0.297016501;1010;;670;138;594;732;10;1412;;6403;;0.122381115;0.3;17193.6
2019;11;20191111;3.730044336;2.530315799;2.931169795;0.127073073;0.36002252;1111;;638;138;339;477;-37;1078;;6403;;0.127073073;0.4;15552
2019;11;20191112;4.592991754;0.144980555;0.844979456;0.238365559;0.449425128;1128;;628;138;416;554;26;1208;;6403;;0.238365559;0.4;14083.2
2019;11;20191113;3.182105471;0;0;0.174609942;0.412431147;977;;599;138;316;454;-82;971;;6403;;0.174609942;0.4;12096
2019;11;20191114;1.908748136;0;0;0.148178891;0.6478333;982;;580;138;350;488;-20;1048;;6403;;0.148178891;0.6;12009.6
2019;11;20191115;3.471047289;1.85865325;1.670540559;0.046692502;0.486287315;992;;558;138;349;487;-93;952;;6403;;0.046692502;0.5;12355.2
2019;11;20191116;3.477955971;0.679074827;0;0.151377226;0.315480543;1014;;514;138;351;489;1;1004;;6403;;0.151377226;0.3;11232
2019;11;20191117;3.798980708;3.098332444;4.160045846;0.032194447;0.36002252;1023;;532;137;318;455;-44;943;;6403;;0.032194447;0.4;12355.2
2019;11;20191118;3.762947418;0;0;0.139006068;0.438509081;984;;504;138;599;737;-20;1221;;6403;;0.139006068;0.4;12096
2019;11;20191119;2.285983508;0;0;0.051384459;0.333944585;989;;488;138;328;466;-29;925;;6403;;0.051384459;0.3;11836.8
2019;11;20191120;4.354000154;0;0;0.046692502;0.430961086;960;;479;138;469;607;-65;1021;;6403;;0.046692502;0.4;11232
2019;11;20191121;3.376864345;0;0;0.043494167;0.275503063;1023;;465;138;409;547;-73;939;;6403;;0.043494167;0.3;10713.6
2019;11;20191122;3.204049936;0;0;0.032194447;0.407734856;980;;461;137;534;671;-17;1115;;6403;;0.032194447;0.4;9936
2019;11;20191123;5.693811917;0;0;0.053300265;1.24351073;1033;;434;138;457;595;-54;975;;6403;;0.053300265;1.2;9504
2019;11;20191124;5.889861545;0;0;0.064388893;0.467823273;1032;;428;138;473;611;-13;1026;;6403;;0.064388893;0.5;8467.2
2019;11;20191125;5.194930773;0.7740056;0.17098628;0.020894726;0.3;976;;424;138;578;716;-39;1101;;6403;;0.020894726;0.3;8294.4
2019;11;20191126;5.775944618;0.068016645;0.57511143;0.030489733;0.233944585;985;;401;138;488;626;-58;969;;6403;;0.030489733;0.2;8208
2019;11;20191127;7.22657033;4.178658696;2.425245146;0.089975577;0.523028538;959;;398;138;504;642;-23;1017;;6403;;0.089975577;0.5;8467.2
2019;11;20191128;7.949778319;5.069482329;2.794351495;0.061190558;0.67073251;943;;377;138;480;618;-70;925;;6403;;0.061190558;0.7;10195.2
2019;11;20191129;6.42303609;12.44152801;13.73624443;0.038591118;0.306145494;947;;393;138;540;678;-83;988;;6403;;0.038591118;0.3;20822.4
2019;11;20191130;2.835013999;0;0;0.101697481;0.190983606;975;;325;138;659;797;9;1131;;6403;;0.101697481;0.2;29635.2
2019;12;20191201;2.238144208;2.847938865;0.616994846;0.027291398;0.26002252;978;;525;138;252;390;-87;828;;6403;;0.027291398;0.3;18057.6
2019;12;20191202;1.825147007;0.277135808;2.319596641;0.04519888;0.36002252;959;;504;138;379;517;2;1023;;6403;;0.04519888;0.4;17280
2019;12;20191203;-0.440110457;0;0;0.140077507;0.180386214;951;;503;138;368;506;-28;981;;6403;;0.140077507;0.2;15465.6
2019;12;20191204;-0.329872438;0;0;0.024093062;0.215480543;977;;501;138;380;518;-95;924;;6403;;0.024093062;0.2;12700.8
2019;12;20191205;-0.990133008;0;0;0.017696391;0.181535958;947;;473;138;471;609;-42;1040;;6403;;0.017696391;0.2;11836.8
2019;12;20191206;0.777295607;0.437800411;0.13784741;0.213217039;0.246057077;997;;494;138;487;625;-47;1072;;6403;;0.213217039;0.2;11059.2
2019;12;20191207;7.784891883;0.050969509;0.158699974;0.077393327;0.641492581;982;;465;138;429;567;-58;974;;6403;;0.077393327;0.6;10368
